UTC_Time,Account,Operation,Coin,Change,Remark
2021-07-01 05:10:34,Card,Card Cashback,BNB,0.00000806,""
2021-07-03 05:08:53,Card,Card Cashback,BNB,0.00000788,""
2021-07-18 08:23:08,Spot,Large OTC trading,BTC,0.00188587,""
2021-07-18 08:23:08,Spot,Large OTC trading,BUSD,-60.00000000,""
2021-07-18 08:25:00,Spot,Large OTC trading,BUSD,-50.00000000,""
2021-07-18 08:25:00,Spot,Large OTC trading,ADA,41.64515001,""
2021-07-21 08:28:32,Spot,Withdraw,BUSD,-10.00000000,Withdraw fee is included
2021-07-21 08:31:05,Spot,Withdraw,BUSD,-100.00000000,Withdraw fee is included
2021-07-24 17:18:20,Spot,Deposit,EUR,100.00000000,""
2021-07-24 17:20:09,Spot,Large OTC trading,EUR,-100.00000000,""
2021-07-24 17:20:09,Spot,Large OTC trading,BUSD,116.42300000,""
2021-07-28 00:49:46,Spot,Large OTC trading,ETH,0.01500101,""
2021-07-28 00:49:46,Spot,Large OTC trading,BUSD,-34.27100000,""
2021-07-29 11:29:01,Spot,Savings purchase,WAVES,-5.99191690,""
2021-07-29 11:29:54,Spot,Savings purchase,AAVE,-0.10000000,""
2021-07-29 11:31:02,Spot,Savings purchase,MATIC,-50.00000000,""
2021-07-31 01:47:12,Spot,Savings Interest,AAVE,0.00000274,""
2021-07-31 02:19:09,Spot,Savings Interest,MATIC,0.00273950,""
2021-07-31 02:27:04,Spot,Savings Interest,WAVES,0.00046623,""
2021-07-31 07:24:45,Spot,Large OTC trading,BTC,-0.00120356,""
2021-07-31 07:24:45,Spot,Large OTC trading,BUSD,50.00000000,""
2021-07-31 07:27:28,Spot,Large OTC trading,ETH,-0.02049550,""
2021-07-31 07:27:28,Spot,Large OTC trading,BUSD,50.00000000,""
2021-08-01 01:47:29,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-01 02:19:56,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-01 02:27:46,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-02 01:47:18,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-02 02:18:34,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-02 02:25:38,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-03 04:47:11,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-03 05:17:40,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-03 05:23:39,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-04 01:47:07,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-04 02:16:18,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-04 02:22:08,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-05 01:47:14,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-05 02:17:23,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-05 02:23:51,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-05 03:30:56,Spot,Large OTC trading,BUSD,30.00000000,""
2021-08-05 03:30:56,Spot,Large OTC trading,ETH,-0.01111712,""
2021-08-06 01:47:09,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-06 02:17:59,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-06 02:24:28,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-07 01:07:31,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-07 01:41:49,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-07 01:50:57,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-08 01:47:13,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-08 02:17:56,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-08 02:25:24,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-09 01:47:24,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-09 02:20:39,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-09 02:28:57,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-10 01:47:06,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-10 02:17:40,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-10 02:24:34,Spot,Savings Interest,WAVES,0.00046623,""
2021-08-11 01:47:08,Spot,Savings Interest,AAVE,0.00000274,""
2021-08-11 02:18:11,Spot,Savings Interest,MATIC,0.00273950,""
2021-08-11 02:25:55,Spot,Savings Interest,WAVES,0.00046623,""
